"id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"7259193379_10153215078603380",36,0,0,0,0,0
"7259193379_10153215107003380",37,0,0,0,0,0
"7259193379_10153217277998380",35,0,0,0,0,0
"7259193379_10153217320278380",48,0,0,0,0,0
"7259193379_10153217606458380",26,0,0,0,0,0
"7259193379_10153229637438380",211,0,0,0,0,0
"7259193379_10153231075918380",23,0,0,0,0,0
"7259193379_10153231300093380",27,0,0,0,0,0
"7259193379_10153231808598380",188,0,0,0,0,0
"7259193379_10153232608938380",70,0,0,0,0,0
"7259193379_10153232839868380",34,0,0,0,0,0
"7259193379_10153243982563380",124,0,0,0,0,0
"7259193379_10153245478308380",33,0,0,0,0,0
"7259193379_10153250615248380",42,0,0,0,0,0
"7259193379_10153253895653380",26,0,0,0,0,0
"7259193379_10153254264698380",144,0,0,0,0,0
"7259193379_10153278524538380",48,0,0,0,0,0
"7259193379_10153285799043380",101,0,0,0,0,0
"7259193379_10153287516663380",253,0,0,0,0,0
"7259193379_10153296756658380",249,0,0,0,0,0
"7259193379_10153296857698380",352,0,0,0,0,0
"7259193379_10153311046638380",60,0,0,0,0,0
"7259193379_10153322427658380",345,0,0,0,0,0
"7259193379_10153331486548380",78,0,0,0,0,0
"7259193379_10153333164168380",96,0,0,0,0,0
"7259193379_10153333211203380",12,0,0,0,0,0
"7259193379_10153357407498380",40,0,0,0,0,0
"7259193379_10153371199983380",523,0,0,0,0,0
"7259193379_10153381358133380",157,0,0,0,0,0
"7259193379_10153417165543380",88,0,0,0,0,0
"7259193379_10153417172138380",17,0,0,0,0,0
"7259193379_10153420656448380",22,0,0,0,0,0
"7259193379_10153422502243380",17,0,0,0,0,0
"7259193379_10153422541093380",340,0,0,0,0,0
"7259193379_10153431423053380",6,0,0,0,0,0
"7259193379_10153441038673380",59,0,0,0,0,0
"7259193379_10153441164463380",48,0,0,0,0,0
"7259193379_10153441180253380",57,0,0,0,0,0
"7259193379_10153441240278380",44,0,0,0,0,1
"7259193379_10153446078618380",118,0,0,0,0,0
"7259193379_10153446436598380",44,0,0,0,0,0
"7259193379_10153459012723380",25,0,0,0,0,0
"7259193379_10153459278083380",44,0,0,0,0,0
"7259193379_10153460811658380",27,0,0,0,0,0
"7259193379_10153462626418380",65,1,0,0,0,0
"7259193379_10153470647013380",2,0,0,0,0,0
"7259193379_10153470657168380",11,0,0,0,0,0
"7259193379_10153476550558380",3,0,0,0,0,0
"7259193379_10153482037413380",13,0,0,0,0,0
"7259193379_10153487308078380",60,0,0,0,0,0
"7259193379_10153487620178380",56,0,0,0,0,0
"7259193379_10153487924523380",72,0,0,0,0,0
"7259193379_10153499087643380",61,0,0,0,0,0
"7259193379_10153503613348380",34,0,0,0,0,0
"7259193379_10153509170083380",151,0,0,0,2,0
"7259193379_10153509770948380",47,0,0,0,0,0
"7259193379_10153513733488380",75,0,0,0,0,0
"7259193379_10153513914788380",14,0,0,0,0,0
"7259193379_10153514242583380",60,0,0,0,0,0
"7259193379_10153522052198380",140,0,0,0,0,0
"7259193379_10153526187668380",18,0,0,0,0,0
"7259193379_10153528624633380",93,0,0,0,0,0
"7259193379_10153528679268380",62,0,0,0,0,0
"7259193379_10153530689693380",200,1,0,1,0,1
"7259193379_10153538963333380",37,0,0,0,0,0
"7259193379_10153540680228380",43,1,0,0,0,0
"7259193379_10153540810423380",44,0,0,0,0,0
"7259193379_10153563194303380",42,0,0,0,0,0
"7259193379_10153566152213380",68,4,0,0,0,0
"7259193379_10153566567288380",218,8,0,0,0,0
"7259193379_10153566670598380",83,3,0,0,0,0
"7259193379_10153569132398380",6,1,0,0,0,0
"7259193379_10153569165363380",22,1,0,0,0,0
"7259193379_10153584846318380",62,2,0,0,0,0
"7259193379_10153585807598380",191,7,0,0,1,9
"7259193379_10153609339503380",132,2,0,3,1,0
"7259193379_10153624073878380",35,2,0,0,0,0
"7259193379_10153631510123380",1034,102,1,5,0,0
"7259193379_10153635876523380",94,0,0,0,0,0
"7259193379_10153635896953380",199,15,0,1,0,0
"7259193379_10153648443388380",64,0,0,0,0,0
"7259193379_10153649211013380",28,3,0,0,0,0
"7259193379_10153649297923380",86,4,0,0,0,0
"7259193379_10153650638398380",48,0,0,0,0,0
